type,label,level,id,rel
b,工学部一号館,,,
l,地下一階,-1,,
l,一階,1,,
l,二階,2,,
l,三階,3,,
l,四階,4,,
l,五階,5,,
r,エントランス,1,1,2
r,ロビー,1,2,"46,47,50,51,57"
r,建築学専攻事務室,1,3,51
r,野口教授室,1,4,51
r,前准教授室,1,5,51
r,前研究室,1,6,51
r,赤司教授室,1,7,52
r,赤司研究室,1,8,52
r,環境系ゼミ室,1,9,52
r,小崎准教授室,1,10,52
r,佐久間研究室,1,11,52
r,佐久間教授室,1,12,52
r,丸山教授室,1,13,52
r,社基,1,14,52
r,11号講義室,1,15,53
r,12号講義室,1,16,53
r,13号講義室,1,17,55
r,14号講義室,1,18,55
r,15号講義室,1,19,"38,54"
r,16号演習講義室,1,20,53
r,17号演習講義室,1,21,55
r,地球観測データ統融合連携研究機構,1,22,56
r,小池教授室,1,23,56
r,河川流域環境秘書室,1,24,56
r,知花講師室,1,25,56
r,河川流域環境研究室,1,26,56
r,内村准教授室,1,27,57
r,土質秘書室,1,28,57
r,東畑教授室,1,29,57
r,非常勤講師室,1,30,57
r,社基事務室,1,31,57
r,VRセンター1,1,32,"33,50"
r,VRセンター2,1,33,"34,50"
r,VRセンター3,1,34,"35,50"
r,AIセンター,1,35,"36,50"
r,DSS,1,36,54
r,一号館管理室,1,37,50
r,小空間,1,38,"53,54,66"
r,EPS,1,39,
r,WC男1,1,40,54
r,WC男2,1,41,53
r,WC男3,1,42,55
r,WC女1,1,43,54
r,WC女2,1,44,53
r,WC女3,1,45,55
r,階段1,1,46,
r,階段2,1,47,
r,階段3,1,48,53
r,階段4,1,49,55
r,廊下1,1,50,"54,63"
r,廊下2,1,51,"52,62,65"
r,廊下3,1,52,"53,64"
r,廊下4,1,53,67
r,廊下5,1,54,55
r,廊下6,1,55,56
r,廊下7,1,56,"57,60"
r,廊下8,1,57,"58,59"
r,設備室1,1,58,
r,設備室2,1,59,
r,設備室3,1,60,
r,設備室4,1,61,
r,設備室5,1,62,
r,設備室6,1,63,
r,設備室7,1,64,
r,設備室8,1,65,
r,ELV,1,66,
r,スロープ,1,67,